type,commenter,comment,ipdatetime,source_index,date_time,ip
推,yamiyami,有拿到首次app的100,02/02 01:29,0,02/02 01:29,
推,skye11,之前有領過了 還是推個～抽獎就碰碰運氣,02/02 13:40,0,02/02 13:40,
推,autumn0121,有領過+1,02/02 14:22,0,02/02 14:22,
推,bigsara,原本看這活動好像到去年底而已，後來又延長到3月,02/02 17:42,0,02/02 17:42,
推,pippen2002,首次登入app?? 誰還0登入過?,02/02 20:51,0,02/02 20:51,
推,abccbaandy,看這篇才想到，之前綁openpoint的免手續費都沒給...,02/02 16:03,1,02/02 16:03,
推,i23421713,謝謝分享～,02/02 16:46,1,02/02 16:46,
→,kevenshih,上一批的今天入帳,02/02 17:35,1,02/02 17:35,
推,lf850202,看來新戶最多177點 舊戶最多97點,02/02 17:58,1,02/02 17:58,
推,jason83713,請問app內要怎麼連結icashpay？,02/02 20:34,1,02/02 20:34,
→,pippen2002,+1  +1,02/02 20:52,1,02/02 20:52,
推,iamhsg,請問首連滿額禮線上儲星巴克算嗎？,02/02 21:26,1,02/02 21:26,
推,iamhsg,欸！首連滿額活動2023/11/24就開始，該不會早滿了吧？@@,02/02 21:34,1,02/02 21:34,
→,iamhsg,”,02/02 21:34,1,02/02 21:34,
→,iamhsg,畢竟才1700名,02/02 21:34,1,02/02 21:34,
推,h67568611,活動連結內有教學,02/02 22:01,1,02/02 22:01,
推,aaa856262,要從中信連結去icashpay註冊 才有50點,02/02 22:45,1,02/02 22:45,
推,pippen2002,那算了！給大家機會吧,02/03 00:18,1,02/03 00:18,
推,BabyWolf,首連活動二icash加值送77的12月刷已入帳+1 代售郵票沒排,02/03 01:53,1,02/03 01:53,
→,BabyWolf,除 #1bQNZHYj (MobilePay) 不過據說代收刷不過,02/03 01:54,1,02/03 01:54,
→,abccbaandy,反觀英國(？,02/02 20:34,2,02/02 20:34,
推,brokeback,忙著綁支付送洗碗精？,02/02 22:10,2,02/02 22:10,
→,flypenguin,沒事沒事，郵局交通部管的，金管會罰不到錢。,02/02 22:20,2,02/02 22:20,
噓,bonba,那麼爛還有人用,02/03 00:36,2,02/03 00:36,
推,aljust12,大額只能臨櫃 線上約定要臨櫃申請 但額度等同非約定,02/02 21:14,3,02/02 21:14,
→,aljust12,不超過20萬用非約定就好 超過不管如何你還是要臨櫃,02/02 21:15,3,02/02 21:15,
→,alex1973,自己看吧: https://bit.ly/3SrxJT8,02/02 21:16,3,02/02 21:16,
→,alex1973,"看限制這麼多, 但是不曉得你需求怎樣, 撞到哪個限制就跑",02/02 21:17,3,02/02 21:17,
→,alex1973,一次銀行全部解決,02/02 21:18,3,02/02 21:18,
→,eubrgbf,您好 不好意思 我只是想綁自己的台幣帳號 作為把外幣換回,02/02 21:21,3,02/02 21:21,
→,eubrgbf,台幣使用 應該可以線上約定自己的帳號嗎,02/02 21:21,3,02/02 21:21,
→,eubrgbf,因為現在我網銀沒辦法美金換回台幣 它叫我要設定台幣轉入,02/02 21:23,3,02/02 21:23,
→,eubrgbf,帳號 我能不能線上讀卡機設定自己的帳戶哇 一天10萬其實,02/02 21:23,3,02/02 21:23,
→,eubrgbf,很夠用了,02/02 21:23,3,02/02 21:23,
→,ken840419,設定自己的帳號也要去臨櫃唷,02/02 21:23,3,02/02 21:23,
→,alex1973,"Google ""華南 bank 3.0""",02/02 21:24,3,02/02 21:24,
→,alex1973,"行不行你試看看, 我自己試用過其他家 bank 3.0, 但是華",02/02 21:25,3,02/02 21:25,
→,alex1973,南沒用過,02/02 21:25,3,02/02 21:25,
→,eubrgbf,我看他文章好像寫可以設定自己的本行帳號 作為台幣轉入帳,02/02 21:27,3,02/02 21:27,
→,eubrgbf,號嗎,02/02 21:27,3,02/02 21:27,
→,eubrgbf,https://i.imgur.com/AuHGRz3.jpg,02/02 21:29,3,02/02 21:29,
→,alex1973,"我也是看覺得可能可以, 但是你這又牽涉台外幣之間, 所以",02/02 21:32,3,02/02 21:32,
→,alex1973,"我才說你自己試看看, 有沒有好消息都歡迎分享給其他人知",02/02 21:33,3,02/02 21:33,
→,alex1973,道,02/02 21:33,3,02/02 21:33,
→,aljust12,文章要全部看完 就問 你有申請過線上約定嗎? 沒有就臨櫃,02/02 21:38,3,02/02 21:38,
→,aljust12,單日沒摻過10萬 常用帳號=非約定=線上約定而度就很好用,02/02 21:41,3,02/02 21:41,
推,temu2015,華南最天才的是連設定常用帳號都要插金融卡……,02/02 21:43,3,02/02 21:43,
→,theholyice,要臨櫃開通，而且要一起申請提高約定帳戶轉帳上限，,02/03 00:02,3,02/03 00:02,
→,theholyice,不然一次最多只能5萬…就算本人也一樣，這點超擾民害,02/03 00:02,3,02/03 00:02,
→,theholyice,我跑兩趟,02/03 00:02,3,02/03 00:02,
推,lynnlelia071,大戶趁禮拜三換匯額度比較划算，剛好之後要出國多,02/02 22:24,4,02/02 22:24,
→,lynnlelia071,換一些起來，感謝樓主分享抽獎活動,02/02 22:24,4,02/02 22:24,
推,kkkk1234,提醒一下 任務一要單筆5千 任務二可以累積5萬,02/02 22:40,4,02/02 22:40,
推,ROCAF,看先推,05/04 02:04,5,05/04 02:04,
推,fr373969,推,05/04 02:32,5,05/04 02:32,
推,wilson9221,,05/04 03:21,5,05/04 03:21,
推,BBMak,,05/04 06:41,5,05/04 06:41,
推,tiempo,助很大XD 昨天才因為地緣開渣打跟華南的外幣帳戶,05/04 08:29,5,05/04 08:29,
推,tiempo,個小問題，渣打的網銀買賣匯優惠兩分，實際容忍匯差應該,05/04 08:33,5,05/04 08:33,
推,tnf,Z大~~你好棒!!!讓銀行服務版的版友們受益良多~給你個讚!!!,05/04 08:34,5,05/04 08:34,
→,tiempo,0.06吧（有想錯嗎？） 不過也是到六月底的活動就是了,05/04 08:35,5,05/04 08:35,
→,tiempo,章裡面是標示0.08,05/04 08:36,5,05/04 08:36,
→,TZUYIC,始匯差0.12，買賣分別優惠2分，實際匯差就變成0.08囉。,05/04 08:36,5,05/04 08:36,
→,TZUYIC,有特別解釋計算方式，在第三部分的一開頭。:),05/04 08:37,5,05/04 08:37,
推,tiempo,謝，看到文章中間就忘了他的原始匯差較大，可見文章真的,05/04 08:39,5,05/04 08:39,
→,tiempo,長，是個浩大工程,05/04 08:40,5,05/04 08:40,
推,tiempo,篇優文真的應該多推幾次,05/04 08:42,5,05/04 08:42,
推,akakapo,強大的文章，感謝T大整理分享！,05/04 11:07,5,05/04 11:07,
推,gh20502,定要推的!,05/04 11:40,5,05/04 11:40,
推,bigpolaris,！,05/04 11:46,5,05/04 11:46,
推,Anadyomene,篇應該要推爆,05/04 13:45,5,05/04 13:45,
推,tnf,爆這篇~~先說好~~第一百推是我的喔!!!(握拳),05/04 13:49,5,05/04 13:49,
推,kuio0115,大文一定要推的!!篇篇用心寫~用心推~超強線上客服!!,05/04 16:22,5,05/04 16:22,
推,tnf,錯~~PTT理財超強線上客服!!,05/04 16:26,5,05/04 16:26,
推,Quezacot,推推，超棒的分享~,05/04 17:19,5,05/04 17:19,
推,cuteEvanYo,推先推！,05/04 17:32,5,05/04 17:32,
推,tnf,謝TZ大~~您的用心，讓銀行服務版的版友們受惠良多~,05/04 17:59,5,05/04 17:59,
推,tnf,您敬禮表示敬意~(敬禮),05/04 18:00,5,05/04 18:00,
推,gfedcba0207,厲害~~~,05/04 18:58,5,05/04 18:58,
推,mybbsid,推，不然別人以為我們看不懂 囧,05/04 20:08,5,05/04 20:08,
→,TZUYIC,人說好麻煩的外匯，可不可以寫重點，我想如果你要看重點,05/04 20:53,5,05/04 20:53,
→,TZUYIC,沒那麼厲害可以用二三句話解釋清楚，麻煩另請高明吧。,05/04 20:53,5,05/04 20:53,
推,Anadyomene,推,05/04 21:30,5,05/04 21:30,
推,invin0730,服你的耐心!,05/04 21:57,5,05/04 21:57,
推,tnf,覺得麻煩的人，可不可以告訴我外匯的重點是????,05/04 22:07,5,05/04 22:07,
推,Anadyomene,推,05/04 22:07,5,05/04 22:07,
推,tenghui,篇真是菁華中的菁華,05/04 22:45,5,05/04 22:45,
推,ZCH,以請問一下為什麼沒有國泰嗎ˊˋ,05/04 22:59,5,05/04 22:59,
→,TZUYIC,他銀行要等到以後才會慢慢更新囉，因為工程太大了。,05/04 23:09,5,05/04 23:09,
推,momosean,個一定要推一下，但想請問台銀vip通過有要求最低餘額嗎,05/04 23:19,5,05/04 23:19,
→,TZUYIC,存款150萬可請理專報專案申請加入，有存款300萬可以直接,05/04 23:26,5,05/04 23:26,
→,TZUYIC,入，免報專案特別放行。,05/04 23:26,5,05/04 23:26,
推,yumeiko,大這篇文章的格式好正式. 內容又好豐富  推,05/04 23:31,5,05/04 23:31,
推,WaterDragonI,推，不然別人以為我們看不懂 囧,05/05 08:17,5,05/05 08:17,
推,tnf,不懂的地方可以舉手發問啦~相信TZ大會很熱心為大家解答的:),05/05 08:34,5,05/05 08:34,
推,ThemeIsMyDog,大無敵!,05/05 09:06,5,05/05 09:06,
推,ThemeIsMyDog,驚人了!!!!!!!!!!!!!!!!!!!  無敵T大!,05/05 10:16,5,05/05 10:16,
推,guccilulu,厲害了~~,05/05 13:21,5,05/05 13:21,
推,Anadyomene,推直到爆,05/05 13:59,5,05/05 13:59,
推,kinddevil,厲害了!!有網頁版嗎??我想存起來~,05/05 14:17,5,05/05 14:17,
→,kinddevil,好意思~~看到文章開頭說了沒有網頁版~~,05/05 14:18,5,05/05 14:18,
→,TZUYIC,有網頁版喔，想要儲存文章可以對本文按 Shift＋F 組合鍵,05/05 14:27,5,05/05 14:27,
→,TZUYIC,可全文寄送到自己的電子郵件信箱囉。,05/05 14:27,5,05/05 14:27,
→,TZUYIC,"為一開始寫文章就是在PTT下寫，所以沒有網頁版。 ^^""",05/05 14:28,5,05/05 14:28,
→,TZUYIC,果看不到滙豐銀行這個三點水在外面的滙字，可以改用最新,05/05 14:34,5,05/05 14:34,
→,TZUYIC,支援統一碼的PCMan來瀏覽，就看得到啦～,05/05 14:34,5,05/05 14:34,
推,browncat,厲害的 很想按個讚,05/05 16:01,5,05/05 16:01,
推,Forestier,hift+Q有文章網址 這應該勉強算是網路版吧,05/05 18:02,5,05/05 18:02,
→,TZUYIC,大不錯耶，我用Shift-Q這麼久，從來都沒有注意還有網頁版,05/05 18:03,5,05/05 18:03,
→,TZUYIC,PTT網址，看了網頁版，排版都沒有亂掉，Nice！,05/05 18:04,5,05/05 18:04,
→,TZUYIC,有幾個字和括號顯示不出來而已～,05/05 18:06,5,05/05 18:06,
→,ROCAF,eb版的PTT除了一部分字型跟色彩控制碼出不來以外其他還堪用,05/05 21:47,5,05/05 21:47,
推,TAMACAT,厲害了...,05/05 23:11,5,05/05 23:11,
推,tnf,WEB版PTT我就覺得已經很強大了...不敢奢求太多...:PPP,05/05 23:11,5,05/05 23:11,
推,waneslacakus,苦了 其實花旗並沒有南非幣交易 只是寫好看的而已,05/06 18:10,5,05/06 18:10,
推,YoBo,,05/07 01:39,5,05/07 01:39,
推,Anadyomene,,05/07 11:23,5,05/07 11:23,
推,Anadyomene,,05/07 15:48,5,05/07 15:48,
推,crazyghost,鎊50以上的時候 台銀仍然最划算~ (久不見矣!),05/07 16:55,5,05/07 16:55,
推,tnf,也想看到英鎊重回50+的榮耀!!XDDDDD,05/07 22:46,5,05/07 22:46,
→,crazyghost,正一下...上面應該是英鎊55+的時候台銀才最划算,05/07 23:23,5,05/07 23:23,
推,pleasant,推，但懷疑T大待業中，原因是PO文時間及如此閒情逸緻,05/08 12:34,5,05/08 12:34,
→,TZUYIC,那麼多時間寫文章叫作閒情逸致，那以後不寫了。,05/08 13:32,5,05/08 13:32,
推,subseven,大的存款不是樓樓上能想像的吧XD 感謝T大分享!,05/08 13:38,5,05/08 13:38,
推,ROCAF,子大概不知道T董的實力,05/08 17:26,5,05/08 17:26,
推,tnf,Z大~~你不可以不寫~~你不可以任性!!!拜託你寫啦~,05/08 19:30,5,05/08 19:30,
推,ClassicTZ,   真是詳細,05/08 21:41,5,05/08 21:41,
推,purin59,，就說你不去銀行上班太可惜了!!我渣打老東家有缺行員喔,05/09 02:23,5,05/09 02:23,
推,Anadyomene,,05/09 13:53,5,05/09 13:53,
推,michaleeeee,讚的!! 狂推!,05/09 19:40,5,05/09 19:40,
→,TZUYIC,果大家喜歡的話，就麻煩有空多點點文章中的圖片網址囉，,05/09 19:52,5,05/09 19:52,
→,TZUYIC,為圖片空間規定超過一個月沒人瀏覽的圖片將會被系統自動,05/09 19:54,5,05/09 19:54,
→,TZUYIC,除，這樣一來就看不到啦，所以還是需要大家多點閱！ :),05/09 19:55,5,05/09 19:55,
推,ROCAF,點完圖了,05/09 21:35,5,05/09 21:35,
推,tnf,!!!我會去點的,05/10 11:52,5,05/10 11:52,
推,Anadyomene,,05/10 15:24,5,05/10 15:24,
推,ivyL,心文推,05/11 22:23,5,05/11 22:23,
推,tnf,Z大~超感謝您如此的用心~代表大家跟你敬禮致謝(敬禮)TZ大萬歲,05/15 12:02,5,05/15 12:02,
推,Anadyomene,60推,05/17 22:29,5,05/17 22:29,
推,yinson,? 我竟然沒推過  推推  ^^b,05/24 16:14,5,05/24 16:14,
推,bigair888,找這篇發現竟然置底啦,05/24 19:56,5,05/24 19:56,
推,fr373969,ush,05/24 23:20,5,05/24 23:20,
推,tnf,有點圖了，說好每個月要點一次~可是~~點到後面我的kkman當了,05/27 11:45,5,05/27 11:45,
推,yinson,新電腦 ＊*＊ˋ( ￣▽￣)ˊ＊*＊,05/27 15:54,5,05/27 15:54,
推,johnjohncoin,銀CHF匯差擴大，煩請更正表格，thx,05/30 10:13,5,05/30 10:13,
→,TZUYIC,說臺灣銀行拉大澳幣的匯差，我先觀察兩天再看看……,06/08 09:47,5,06/08 09:47,
推,johnjohncoin,猜下個調高匯差的幣別就是NZD，調高不爽，但還是,06/08 18:38,5,06/08 18:38,
→,johnjohncoin,國最低的話，就只好加減用了,06/08 18:38,5,06/08 18:38,
推,stardick,!!!,07/07 00:19,5,07/07 00:19,
推,slalala,邦網銀 美金澳幣有讓0.03,07/09 16:15,5,07/09 16:15,
推,ting24,,07/18 21:47,5,07/18 21:47,
→,miniuser,枝的ZAR 只能ZAR轉成其他幣別 無逆向反應,08/13 20:33,5,08/13 20:33,
推,tnf,月一點，今日8/23每月一點完畢...,08/23 15:52,5,08/23 15:52,
推,tnf,Z大，每月一點改成每月三點，結果~還是又多了圖看不到失效了,09/09 17:11,5,09/09 17:11,
推,tnf,有很認真點說~~站內信給你...,09/09 17:11,5,09/09 17:11,
推,winny221,得不推!!曠世好文阿~~對剛要接觸外幣的人真的很有幫助~,09/20 15:17,5,09/20 15:17,
推,Iammashen,一下 大概了解了,09/29 16:45,5,09/29 16:45,
→,tnf,"末連假，提早來每月三點...^^""",10/06 16:37,5,10/06 16:37,
→,tnf,月一點，沒有新變化...,11/07 17:18,5,11/07 17:18,
→,TZUYIC,來想加入台新的優惠，不過看報紙寫台新近期的優惠方案只,11/21 14:53,5,11/21 14:53,
→,TZUYIC,今年底，所以暫時先不加入台新，等明年再觀察狀況而定。,11/21 14:54,5,11/21 14:54,
→,tnf,月一點~~沒有啥新變化~~有個小疑問...,11/22 15:14,5,11/22 15:14,
→,tnf,什麼有時候會多一兩個連結有時候又少一兩個連結...(納悶中),11/22 15:14,5,11/22 15:14,
推,fouraugust,"謝T大,不過華南的優惠好像看不到了",11/22 20:31,5,11/22 20:31,
→,fouraugust,外華南的CHF目前為0.26,11/22 20:31,5,11/22 20:31,
→,fouraugust,HF點差為0.26,11/22 20:32,5,11/22 20:32,
→,TZUYIC,解，先做紀錄，之後再一併修正，感恩您。,11/22 21:15,5,11/22 21:15,
→,TZUYIC,S.其實圖片顯示的優惠我都放進表格中了，給圖只是作為參考,11/22 21:20,5,11/22 21:20,
→,TZUYIC,   文獻之用，如果圖片連結失效，可以直接看表格，我再找,11/22 21:23,5,11/22 21:23,
→,TZUYIC,  時間將所有的圖片連結更新為新的圖片空間（工程浩大）。,11/22 21:26,5,11/22 21:26,
推,tnf,工程真的很浩大...TZ大加油~銀行版的大家需要你呀!!!(握拳),12/02 16:26,5,12/02 16:26,
→,tnf,9個連結失效...orz,12/07 14:47,5,12/07 14:47,
→,tnf,上次的一樣~就不另轉寄連結了...以上報告...,12/07 14:51,5,12/07 14:51,
推,fouraugust,"謝T大,我也把全部連結點了一遍XD",12/08 20:57,5,12/08 20:57,
→,tnf,上好棒!!!!越多人幫點，我每月就可以少點一點了..,12/13 20:55,5,12/13 20:55,
→,tnf,然銀行版的大家就會少一篇置底精華文可以瀏覽了...,12/13 21:02,5,12/13 21:02,
→,TZUYIC,新銀行今年不提供網銀外幣交易優惠給一般客戶了，剛才試,01/05 10:24,5,01/05 10:24,
→,TZUYIC,一下發現以原價牌告匯率交易，這樣我就不用加入台新囉～,01/05 10:25,5,01/05 10:25,
→,TZUYIC,消息：即日起至101年2月底，於星展網銀線上換外匯，享有,01/05 10:41,5,01/05 10:41,
→,TZUYIC,金減3分、歐元減8分、澳幣減8分之優惠；登入網銀即可看見,01/05 10:42,5,01/05 10:42,
→,TZUYIC,惠訊息。,01/05 10:42,5,01/05 10:42,
→,TZUYIC,消息：渣打銀行網路銀行外匯交易優惠今年前半年持續，即,01/05 10:45,5,01/05 10:45,
→,TZUYIC,起至101年6月29日，享9種外幣線上換匯優惠，詳情見：,01/05 10:46,5,01/05 10:46,
→,TZUYIC,ttp://tinyurl.com/7wrnvwx 活動網頁。,01/05 10:46,5,01/05 10:46,
→,TZUYIC,（101）年，臺灣銀行及玉山銀行網銀外匯交易優惠皆持續～,01/05 11:06,5,01/05 11:06,
→,TZUYIC,邦銀行網路銀行最新外幣交易優惠（登入網銀可看到）：,01/05 22:34,5,01/05 22:34,
→,TZUYIC,購美金、澳幣、紐幣牌告匯率減3分，結購歐元牌告減1角；,01/05 22:35,5,01/05 22:35,
→,TZUYIC,售美金、澳幣、紐幣牌告匯率加3分，結購歐元牌告加1角。,01/05 22:36,5,01/05 22:36,
→,TZUYIC,邦活動：http://www.ubot.com.tw/UB/2009_123/index.html,01/06 12:03,5,01/06 12:03,
推,tnf,Z大~~p24合作金庫匯率加減碼優惠好像改了~~link壞了...XDDD,01/06 14:04,5,01/06 14:04,
推,tnf,他的部分就還是一樣，截圖的部分有些連結失效，以上報告,01/06 14:05,5,01/06 14:05,
→,tnf,月一點，完畢!!!,01/06 14:06,5,01/06 14:06,
→,TZUYIC,的，先做筆記ing～感謝^^,01/07 00:06,5,01/07 00:06,
推,liuring,"像有錯唷...如果以澳幣兌台幣31,台銀0.2%是賣30.938(網)",02/10 08:54,5,02/10 08:54,
→,liuring,"惠6.2分....勝過玉山優惠5分...而且值愈大優惠愈多,應該",02/10 08:55,5,02/10 08:55,
→,liuring,台銀大勝玉山吧,02/10 08:56,5,02/10 08:56,
→,liuring,否要修改一下台銀玉山的優勝比較呢,02/10 08:57,5,02/10 08:57,
→,TZUYIC,是比實際交易匯差（一來一往），不是指光比賣出或買入之,02/10 09:17,5,02/10 09:17,
→,TZUYIC,中單項，再加上玉山澳幣原始匯差本身就比較小，所以一般,02/10 09:18,5,02/10 09:18,
→,TZUYIC,戶玉山贏是沒有問題。,02/10 09:18,5,02/10 09:18,
→,TZUYIC,的計算方式在文章裡都解釋過了，可以再看一下。:),02/10 09:19,5,02/10 09:19,
→,tnf,潰了~~這次多達36個圖連結失效~~orz...,03/06 22:16,5,03/06 22:16,
推,maymaynow,！,03/09 00:04,5,03/09 00:04,
推,gsuper,大已經 dominating 了,04/01 21:31,5,04/01 21:31,
推,tnf,"月一點完畢~~總共35個連結失效~~>""<",04/02 22:18,5,04/02 22:18,
→,tnf,update失效的網址給妳嗎??,04/02 22:18,5,04/02 22:18,
→,tnf,天都不敢上線不敢點~我怕被愚人節了...XDDD,04/02 22:20,5,04/02 22:20,
推,volia,"略先看過~給讚!再來慢慢研究,感謝T大的辛勞。",04/14 00:51,5,04/14 00:51,
→,tnf,"月一點完畢~總共有36個連結失效~^^""",05/01 22:15,5,05/01 22:15,
→,tnf,次每月一點有像在玩樂透的感覺~點到沒失效的~在電腦前面喊,05/01 22:16,5,05/01 22:16,
→,tnf,效有效有效耶~~(像是中樂透的感覺)，這是每月一點的新樂趣XD,05/01 22:16,5,05/01 22:16,
推,tnf,上報告完畢...,05/01 22:17,5,05/01 22:17,
推,smartboy,銀年初開始有新優惠 http://tinyurl.com/7kcwpjj,05/12 16:47,5,05/12 16:47,
推,molalisa,看有推一下,06/10 00:13,5,06/10 00:13,
→,TZUYIC,泰世華銀行網路銀行牌告匯率加減碼優惠：,06/11 14:21,5,06/11 14:21,
→,TZUYIC,ttp://tinyurl.com/2zqegj,06/11 14:22,5,06/11 14:22,
推,b19880604,啦,07/16 02:30,5,07/16 02:30,
推,darwin0711,"恩 ,工程真的浩大啊...",09/19 17:40,5,09/19 17:40,
