type,commenter,comment,ipdatetime,source_index,date_time,ip
→,TZUYIC,人民幣匯率出來再更新文章好了（一天拖過一天，快逃呀）,02/05 20:07,5,02/05 20:07,
推,littlegreen,求人民幣整理版,02/08 02:30,5,02/08 02:30,
→,westfour,中有excel表格懶得放  總之一般客戶開玉山就對了,12/29 12:17,5,12/29 12:17,
→,westfour,浪費時間比了,12/29 12:17,5,12/29 12:17,
推,mauricew,大可以加上人民幣嗎?,01/13 10:29,5,01/13 10:29,
推,hot4321,推,03/03 15:34,5,03/03 15:34,
推,lukeduke,謝! 這篇非常實用啊!,03/25 10:56,5,03/25 10:56,
推,smashin,超詳細!大感謝!!!,09/02 13:29,5,09/02 13:29,
推,jefflin555,這篇怎麼還沒爆?,09/07 16:51,5,09/07 16:51,
推,jefflin555,我推,09/08 08:14,5,09/08 08:14,
推,jefflin555,再推,10/12 13:32,5,10/12 13:32,
→,jefflin555,補推,10/13 16:10,5,10/13 16:10,
推,jefflin555,沒推到，XD,10/13 16:30,5,10/13 16:30,
推,jefflin555,,10/14 08:48,5,10/14 08:48,
推,jefflin555,爆!!!,10/14 09:15,5,10/14 09:15,
推,BearFather,這篇常參考 持續大推,12/14 01:29,5,12/14 01:29,
推,hiyida,這篇猛,01/26 11:23,5,01/26 11:23,
推,seigaku00765,這篇太猛,03/01 21:47,5,03/01 21:47,
推,lily268268,good,03/05 17:38,5,03/05 17:38,
推,bms,推,08/17 16:38,5,08/17 16:38,
→,TZUYIC,玉山網路銀行／行動銀行匯率優惠現在放在這裡喔：,08/22 10:16,5,08/22 10:16,
→,TZUYIC,http://tinyurl.com/pj28f9j,08/22 10:16,5,08/22 10:16,
推,jammy50605,推,10/18 22:25,5,10/18 22:25,
推,perrylieu,"華南澳幣匯差是0.232,請修正一下",01/07 09:38,5,01/07 09:38,
推,pinkygill,推,03/10 17:07,5,03/10 17:07,
推,sisters,推,03/18 22:39,5,03/18 22:39,
推,johnlin35,太用心了~感謝分享 :),03/20 21:45,5,03/20 21:45,
推,perrylieu,錯誤百出，也不會修正,04/06 11:00,5,04/06 11:00,
→,perrylieu,我指的是匯差和網銀優惠,04/06 11:01,5,04/06 11:01,
推,jefflin555,樓上那麼會，就請你出來發一篇 100% 正確的,05/06 00:22,5,05/06 00:22,
推,justin0405,推！整理,08/28 09:10,5,08/28 09:10,
推,peal,那買入跟賣出的 匯兌損失 有比較到嗎?匯兌損失比較重要吧,11/17 19:40,5,11/17 19:40,
推,Hunting,peal.  t大那麼辛苦寫這一大篇不就都是在分析匯兌損失嗎,02/02 15:46,5,02/02 15:46,
→,Hunting, = =,02/02 15:46,5,02/02 15:46,
→,Hunting,匯兌損失=匯差呀,02/02 15:46,5,02/02 15:46,
推,Juan17,推 這篇真是外匯入門寶典呀 感恩T大!!,05/16 23:19,5,05/16 23:19,
推,tnf,把全部的連結都點一遍，但連結大部分都失效了~~~(掩面哭泣貌),06/19 22:38,5,06/19 22:38,
→,prussian,開外幣戶頭兩年以來，永豐美元即期匯率匯差永遠超過0.1,07/31 21:32,5,07/31 21:32,
→,prussian,大部份在 0.105~0.125 之間飄，早就比大多數銀行都爛了,07/31 21:32,5,07/31 21:32,
→,prussian,網銀還完全沒有優惠，反倒電話有，真不曉得活在哪個年代,07/31 21:33,5,07/31 21:33,
噓,fisher790722,第一部分聯邦銀行的數據有錯。歐元匯率差是0.36，,08/29 00:47,5,08/29 00:47,
→,fisher790722,澳幣是0.2,08/29 00:47,5,08/29 00:47,
推,jefflin555,那麼會,09/11 04:13,5,09/11 04:13,
推,IWD,很用心很棒的文章！非常感謝T大,05/19 08:36,5,05/19 08:36,
→,lico000,新臺幣活期存款專案_公告 PDF檔,08/09 04:13,5,08/09 04:13,
推,CCAP,整存,10/22 21:11,5,10/22 21:11,
→,sh0428,所以55樓555 支持3？33。,09/18 20:25,5,09/18 20:25,
推,popolili,謝謝,01/29 20:11,5,01/29 20:11,
推,HCN,浩大工程！感謝先~~~~,02/20 16:03,5,02/20 16:03,
推,Kevinren,感謝T大整理分享,10/09 21:58,5,10/09 21:58,
→,aiyowaya,花旗的消費者 看看這個 再想想自己要不要支持這可能買主,11/21 22:44,5,11/21 22:44,
→,SkyPtt,玉山日圓優惠0.0017了,03/29 09:59,5,03/29 09:59,
→,SkyPtt,永豐是推匯優利定存取代匯率折讓，實際要算一下，但不致,03/29 10:01,5,03/29 10:01,
→,SkyPtt,於太差,03/29 10:01,5,03/29 10:01,
→,greencue,感謝大大整理,04/25 15:03,5,04/25 15:03,
噓,m180,算這麼累不嫌累嗎,05/16 10:53,5,05/16 10:53,
推,wisteriachi,感謝整理,07/01 00:01,5,07/01 00:01,
推,chencu,推，很用心,07/12 08:42,5,07/12 08:42,
→,YesNoter,感謝,10/14 18:32,5,10/14 18:32,
推,jc0953489312,推,10/20 09:05,5,10/20 09:05,
推,gn6824,感謝,06/19 12:50,5,06/19 12:50,
噓,pinrain, 7,10/06 11:10,5,10/06 11:10,
推,tonton0131,推！感謝,12/19 21:07,5,12/19 21:07,
推,feisky,感恩推,01/17 20:17,5,01/17 20:17,
→,crazyghost,2021.09.29 ritalin0328,09/29 23:29,7,09/29 23:29,
→,crazyghost,2021.11.16 ssaymssik 累犯 水桶2個月,11/17 23:22,7,11/17 23:22,
噓,top911,真混Y～,12/13 03:30,7,12/13 03:30,
→,crazyghost,2022.01.16 CPBL,01/16 09:45,7,01/16 09:45,
→,crazyghost,2022.06.24 love1987611,06/24 00:56,7,06/24 00:56,
→,jasome,2022.07.01 asv1764,07/01 09:13,7,07/01 09:13,
→,jasome,2022.07.25 ninjaxin,07/27 01:44,7,07/27 01:44,
→,jasome,2022.07.25 doraqqqq,07/27 01:45,7,07/27 01:45,
→,jasome,2022.07.27 suspect1,07/27 22:54,7,07/27 22:54,
→,jasome,2022.07.31 charles0939,07/31 01:06,7,07/31 01:06,
→,jasome,2022.08.21 TOP99 板規10,08/21 08:46,7,08/21 08:46,
→,jasome,2022.08.31 k9120303,08/31 22:40,7,08/31 22:40,
→,jasome,2022.09.25 a6000200,09/25 10:55,7,09/25 10:55,
→,jasome,2022.09.28 jefflin555,09/28 14:23,7,09/28 14:23,
→,jasome,2022.10.08 m180,10/08 08:22,7,10/08 08:22,
→,jasome,2022.10.08 a09728347966,10/09 00:20,7,10/09 00:20,
→,jasome,2022.10.12 ctr29,10/12 00:42,7,10/12 00:42,
→,jasome,2022.10.17 banana321,10/17 08:10,7,10/17 08:10,
→,jasome,2022.10.20 dilbertludan,10/20 19:13,7,10/20 19:13,
→,jasome,2022.10.24 NTUSTEE118,10/24 03:48,7,10/24 03:48,
→,jasome,2022.10.31 uctheshaved,10/31 12:44,7,10/31 12:44,
→,jasome,2022.11.01 jack4215,11/01 00:10,7,11/01 00:10,
→,jasome,2022.11.30 a316xxx,12/02 16:03,7,12/02 16:03,
→,jasome,2022.12.01 Takadanobaba,12/02 16:03,7,12/02 16:03,
→,jasome,2022.12.05 hihilove,12/05 17:57,7,12/05 17:57,
→,crazyghost,2022.12.30 boa711211,12/31 00:08,7,12/31 00:08,
→,crazyghost,2023.1.1 m180 (2篇 累犯水桶1個月),01/02 00:41,7,01/02 00:41,
→,jasome,2023.01.09 abetterman,01/09 12:11,7,01/09 12:11,
→,jasome,2022.01.05 G4321,01/18 00:39,7,01/18 00:39,
→,jasome,2023.03.01 hahawo,03/02 12:06,7,03/02 12:06,
→,jasome,2023.03.04 MEOWWW,03/04 10:58,7,03/04 10:58,
→,jasome,2023.03.16 s6733014,03/16 16:27,7,03/16 16:27,
→,crazyghost,2023.3.18 bill6618,03/18 23:17,7,03/18 23:17,
→,jasome,2023.03.28 imkiwiwi,03/29 01:52,7,03/29 01:52,
→,jasome,2023.04.02 RTA,04/02 13:49,7,04/02 13:49,
→,jasome,2023.04.01 ftank183,04/02 13:50,7,04/02 13:50,
→,jasome,2023.04.06 jcjohny888,04/06 14:53,7,04/06 14:53,
→,jasome,2023.04.11 cecilx,04/11 21:00,7,04/11 21:00,
→,jasome,2023.04.15 nancy925,04/15 17:15,7,04/15 17:15,
→,jasome,2023.05.07 ntoummd,05/07 12:27,7,05/07 12:27,
→,jasome,2023.05.28 ninifion,05/28 07:21,7,05/28 07:21,
→,jasome,2023.06.12 nxrandy,06/13 00:08,7,06/13 00:08,
→,jasome,2023.06.20 chienting22,06/20 22:15,7,06/20 22:15,
→,jasome,2023.06.25 chiu901,06/25 12:16,7,06/25 12:16,
→,jasome,2023.08.01 jackyetr2003,08/02 23:00,7,08/02 23:00,
→,jasome,2023.08.03 blue6308,08/03 21:42,7,08/03 21:42,
→,jasome,2023.08.14 cashnick,08/14 16:15,7,08/14 16:15,
→,jasome,2023.08.16 silenthillwu,08/16 04:46,7,08/16 04:46,
→,jasome,2023.09.07 ej404,09/07 20:25,7,09/07 20:25,
→,jasome,2023.09.29 cigxm,09/29 14:31,7,09/29 14:31,
→,jasome,2023.10.16 windazn,10/17 21:41,7,10/17 21:41,
→,jasome,2023.11.03 tewyliu0120,11/03 17:21,7,11/03 17:21,
→,jasome,2023.11.16 brendan78,11/17 17:45,7,11/17 17:45,
→,jasome,2023.12.14 baskettank,12/14 18:45,7,12/14 18:45,
→,jasome,2023.12.30 johny888,12/30 21:28,7,12/30 21:28,
→,jasome,2024.01.20 Kwazycupcake,01/20 20:28,7,01/20 20:28,
推,jasome,感謝新年的一年仍持續整理 本篇置底m文,01/01 20:25,8,01/01 20:25,
推,YIHE,推 喜歡這種簡單乾淨的排版,01/01 20:32,8,01/01 20:32,
推,dadadadada,感謝整理,01/01 20:40,8,01/01 20:40,
推,ivanami,感謝整理,01/01 20:40,8,01/01 20:40,
推,danielhsu88,感謝整理,01/01 20:55,8,01/01 20:55,
推,andy0055,感謝整理,01/01 21:00,8,01/01 21:00,
推,Kazamatsuri,樂天前兩個條件改成成功付款-取消退貨退款次數會比較,01/01 21:01,8,01/01 21:01,
→,Kazamatsuri,好 免得有人忘記扣掉下個月就沒了 XD,01/01 21:01,8,01/01 21:01,
推,zo4j4,感謝,01/01 21:02,8,01/01 21:02,
推,starwillow,謝謝整理,01/01 21:02,8,01/01 21:02,
推,tn00725255,感謝整理,01/01 21:10,8,01/01 21:10,
推,runrunkaka,感謝整理,01/01 21:14,8,01/01 21:14,
→,Oggy,居然沒有 822,01/01 21:23,8,01/01 21:23,
→,deersummer,謝謝整理。,01/01 21:33,8,01/01 21:33,
推,kingsgame,謝謝 看來北富銀變舊戶就沒戲了...,01/01 21:38,8,01/01 21:38,
推,vencoorty,感謝整理推，另問街利存算嗎？（只是還要解任務、等級,01/01 21:47,8,01/01 21:47,
→,vencoorty,制）  XD,01/01 21:47,8,01/01 21:47,
推,PitzMan,感謝費心整理分享LoL,01/01 21:48,8,01/01 21:48,
推,vul3m6,感謝分享,01/01 21:51,8,01/01 21:51,
推,debian99,推,01/01 21:56,8,01/01 21:56,
→,CoffeeMoon,舊戶土銀以上的利率才值得存。,01/01 22:05,8,01/01 22:05,
推,misu2718,實用！,01/01 22:05,8,01/01 22:05,
推,chuck0629,感謝整理,01/01 22:43,8,01/01 22:43,
推,hollowlife,謝謝,01/01 22:53,8,01/01 22:53,
推,TimWater,感謝整理,01/01 22:59,8,01/01 22:59,
推,woodous,謝謝整理,01/01 22:59,8,01/01 22:59,
推,dip987,推熱心,01/01 23:08,8,01/01 23:08,
推,khsjds,大戶還有信貸扣款帳戶的條件相對好達成,01/01 23:19,8,01/01 23:19,
推,Kazamatsuri,822目前無任何優惠活動 lol,01/01 23:25,8,01/01 23:25,
推,ivyhoney,聯邦有什麼新戶禮可以順便領嗎？,01/01 23:40,8,01/01 23:40,
推,Mochida,推,01/01 23:51,8,01/01 23:51,
推,chiahua7308,感謝整理,01/02 00:15,8,01/02 00:15,
推,madcloud,推,01/02 00:17,8,01/02 00:17,
推,cherry34,感謝整理 原po心想事成,01/02 00:21,8,01/02 00:21,
推,lucky123820,推,01/02 00:29,8,01/02 00:29,
推,yuwenmayday,感謝整理！,01/02 00:33,8,01/02 00:33,
推,KingsWebber,感謝整理辛苦了,01/02 00:50,8,01/02 00:50,
推,shizukada,感謝整理,01/02 01:56,8,01/02 01:56,
推,ten0227,推,01/02 02:16,8,01/02 02:16,
推,cents,推,01/02 07:29,8,01/02 07:29,
→,toma186,整理推,01/02 07:49,8,01/02 07:49,
推,tsuping,感謝整理,01/02 08:54,8,01/02 08:54,
推,abobstar,感謝整理 辛苦了,01/02 09:24,8,01/02 09:24,
推,BabyWolf,推,01/02 09:41,8,01/02 09:41,
推,Kittyrong,感謝整理,01/02 09:57,8,01/02 09:57,
推,zhennnnnn,推整理,01/02 10:50,8,01/02 10:50,
推,xiaotee,感謝整理,01/02 11:05,8,01/02 11:05,
推,s1011282,感謝整理,01/02 12:08,8,01/02 12:08,
推,LoveMakeLove,感謝整理 將來繼續當大哥,01/02 12:12,8,01/02 12:12,
推,TZUYIC, d(￣︶￣)b 讚啦！,01/02 12:20,8,01/02 12:20,
推,shixi,感謝整理!,01/02 12:37,8,01/02 12:37,
推,hcl45,推推推！每年就超需要用心整理的Po主,01/02 13:57,8,01/02 13:57,
推,wsf,感恩整理,01/02 14:10,8,01/02 14:10,
推,ThisIsNotKFC,感謝之類,01/02 14:43,8,01/02 14:43,
→,ThisIsNotKFC,整理,01/02 14:43,8,01/02 14:43,
推,johnny1976,實用,01/02 15:02,8,01/02 15:02,
推,bombman1029,感謝整理,01/02 15:40,8,01/02 15:40,
→,lf2net4589,新光開戶似乎還要一起辦信用卡才能?,01/02 16:43,8,01/02 16:43,
推,mkcha,感恩,01/02 16:56,8,01/02 16:56,
推,s9435027,台企銀使用台灣pay每月一次回饋20元。活動沒有延續？,01/02 17:14,8,01/02 17:14,
推,steake,謝謝,01/02 17:24,8,01/02 17:24,
推,bboy0223,口袋帳戶是不打算延續了嗎QQ,01/02 17:52,8,01/02 17:52,
推,Kazamatsuri,新光開戶不用綁辦卡啊～,01/02 17:55,8,01/02 17:55,
推,Kazamatsuri,台企銀活動到1/20，所以1/20前應該還可以再賺台灣Pay,01/02 17:57,8,01/02 17:57,
→,Kazamatsuri,一次20吧？,01/02 17:57,8,01/02 17:57,
推,jonse,感恩,01/02 19:16,8,01/02 19:16,
推,papau,台企銀1/1用台灣pay消費 有回饋20元,01/02 21:14,8,01/02 21:14,
推,ivansailu,同上，今日用台灣pay有回饋$20,01/02 21:20,8,01/02 21:20,
推,janghow,推,01/02 22:20,8,01/02 22:20,
推,taco20,王道好像變成6.6%兩個月,01/03 01:09,8,01/03 01:09,
→,taco20,https://i.imgur.com/tXE5oB9.jpg,01/03 01:10,8,01/03 01:10,
→,pc1234,額度那麼低，玩這種只是在浪費時間,01/03 03:57,8,01/03 03:57,
推,chang0628,無上限只服Bankee 免解任務就是爽,01/03 12:02,8,01/03 12:02,
推,irrealsu,推,01/03 14:04,8,01/03 14:04,
推,racher,推,01/03 19:03,8,01/03 19:03,
推,RusselFoo,感謝整理，今年繼續無腦放遠銀+永豐大戶,01/04 14:48,8,01/04 14:48,
推,liago,感謝,01/05 07:49,8,01/05 07:49,
推,CanDz,先推再說,01/05 13:18,8,01/05 13:18,
推,karl60212,感恩BANKEE基礎利率不變，又省了搬磚的麻煩了,01/05 15:30,8,01/05 15:30,
推,a8866442,推整理,01/05 20:26,8,01/05 20:26,
→,pippen2002,推整哩! 但是都很爛! 繼續賺股票5M,01/05 22:15,8,01/05 22:15,
推,ccryst,推感謝整理,01/05 23:31,8,01/05 23:31,
推,daozai,推 感謝整理,01/06 14:45,8,01/06 14:45,
推,prince1514,推整理,01/06 15:19,8,01/06 15:19,
推,invidia,下面整理的滿清楚的,01/07 10:26,8,01/07 10:26,
→,invidia,但不知為啥網頁版看圖會有點模糊,01/07 10:26,8,01/07 10:26,
→,A1101166,圖的解析度沒有很高吧,01/08 14:12,8,01/08 14:12,
推,smtownya,謝謝整理,01/09 12:06,8,01/09 12:06,
推,bobboy8755,富邦,01/10 10:26,8,01/10 10:26,
推,kkkk1234,台新還有街利存可玩 https://i.imgur.com/eZTIZNg.jpg,01/10 17:23,8,01/10 17:23,
推,zsptl2011,感謝整理 彰銀真的是越改越爛 準備搬家,01/12 15:25,8,01/12 15:25,
推,clv,為啥有3%,01/12 20:14,8,01/12 20:14,
推,Kazamatsuri,街利存有條件可以5萬3%三個月,01/12 23:11,8,01/12 23:11,
→,gcd68388,街利要升到尊爵等級不容易吧??,01/14 23:34,8,01/14 23:34,
推,GiiBai5566,感謝大大整理！,01/15 02:55,8,01/15 02:55,
推,wolfaith7,謝謝,01/15 19:22,8,01/15 19:22,
推,ya981410,感謝整理！,01/18 10:00,8,01/18 10:00,
推,woonotgay,水喔 今年大額依舊Bankee,01/18 15:40,8,01/18 15:40,
推,wmkkin,感謝整理，活存繼續放遠銀,01/18 19:07,8,01/18 19:07,
推,IN,王道的活動額度已滿,01/19 09:18,8,01/19 09:18,
推,soul030403,今年很多變成舊戶了可以轉到Bankee,01/19 12:13,8,01/19 12:13,
推,h4934170,其實1.31跟1.35真的沒差多少利息，直接存遠東最方便，,01/19 18:38,8,01/19 18:38,
→,h4934170,降低忘記解任務的風險,01/19 18:38,8,01/19 18:38,
推,clv,嘿啊 其實我想問的是做了什麼有街利3%,01/19 18:55,8,01/19 18:55,
→,kkkk1234,https://i.imgur.com/FXWWP2h.png,01/21 00:07,8,01/21 00:07,
推,Kouzi1019,免任務無上限我只服Bankee,01/22 14:58,8,01/22 14:58,
推,olduck,王道網銀用電腦能登入嗎？一直重覆彈出Loading  (手機可),01/23 16:00,8,01/23 16:00,
推,Kazamatsuri,樂天其實用其中一個條件可以免消費有1.35%無上限啦XD,01/24 20:17,8,01/24 20:17,
推,burnjun,謝謝整理 新光ou不錯 新戶6.08 舊戶也還有2.4%,01/26 17:08,8,01/26 17:08,
推,Kazamatsuri,彰銀多了新戶2個月10萬3%了 XD,01/28 03:13,8,01/28 03:13,
推,octopuso1c,今天發現彰銀新戶變成3%了,01/28 12:02,8,01/28 12:02,
→,octopuso1c,不過2個月而已，要給不給的XD,01/28 12:03,8,01/28 12:03,
推,msdie911545,請問臺灣銀行的使用者代碼是要自己拿卡去atm設定嗎,02/01 02:02,8,02/01 02:02,
→,msdie911545, 只有卡片根本無法開卡跟登入...,02/01 02:02,8,02/01 02:02,
推,nacyling,bankee變成只能app跨行轉帳了？早上被扣手續費XD,02/01 08:20,8,02/01 08:20,
推,arthur70001,今年成功說服我爸媽開Bankee 終於不是存郵局了！！,02/01 11:39,8,02/01 11:39,
推,VivianHu,弱弱問一下遠東Bankee推薦碼怎麼找....,02/01 18:30,8,02/01 18:30,
推,a45321j,這裡不能偷渡推薦碼，直接到FB粉絲團看，或者用理財網紅,02/02 12:36,8,02/02 12:36,
→,a45321j,的推薦碼都可以，個人覺得五萬額度其實還好重點是1.31%,02/02 12:36,8,02/02 12:36,
→,a45321j,無上限,02/02 12:37,8,02/02 12:37,
推,kentwwx,請收信，謝謝,02/03 02:20,8,02/03 02:20,
