作者,看板,標題,日期,內文,推文數,噓文數,箭頭留言數,連結,留言資訊
monkkeywom (キラ),Bank_Service,[情報] 星展digibank首登最高領200＋新舊戶抽獎,Thu Feb  1 20:46:29 2024,"去年底就有看過這活動，好像有名額限制
發現到3月都還有，之前沒領過的可以趕快登入看看
一樣是首次登入app送小七100購物金，有申請電子帳單多送100

抽獎的部分就不限新舊戶，週登入跟月登入有送王品餐券跟雄獅旅遊金
然後期間登入還有一個萬中選一的100,000多選福利即享券，可用的地方比較多
就加減拼拼看人品吧～～

--",5,0,0,https://www.ptt.cc/bbs/Bank_Service/M.1706791591.A.FE3.html,"[{""type"": ""推"", ""user"": ""yamiyami"", ""content"": ""有拿到首次app的100"", ""ipdatetime"": ""02/02 01:29""}, {""type"": ""推"", ""user"": ""skye11"", ""content"": ""之前有領過了 還是推個～抽獎就碰碰運氣"", ""ipdatetime"": ""02/02 13:40""}, {""type"": ""推"", ""user"": ""autumn0121"", ""content"": ""有領過+1"", ""ipdatetime"": ""02/02 14:22""}, {""type"": ""推"", ""user"": ""bigsara"", ""content"": ""原本看這活動好像到去年底而已，後來又延長到3月"", ""ipdatetime"": ""02/02 17:42""}, {""type"": ""推"", ""user"": ""pippen2002"", ""content"": ""首次登入app?? 誰還0登入過?"", ""ipdatetime"": ""02/02 20:51""}]"
calmness26 (一顆蘋果),Bank_Service,[情報] 中信銀APP連結icashPay新戶最高贈100點,Fri Feb  2 15:55:45 2024,"中信Home Bank APP銀行存款帳戶連結icash Pay贈OPENPOINT點數
新舊戶分開整理比較清楚

【icashPay新戶】
※註冊禮：由中國信託銀行Home Bank APP內完成新註冊icash Pay並連結中國信託銀行存
款帳戶(完成啟用)，贈50點OPENPOINT。(活動期間每戶限贈乙次，限量前10,000名。)

※消費禮：註冊完後任一筆消費再贈50點OPENPOINT。
https://i.imgur.com/AjIPIkY.jpg
【icashPay舊戶】
※好友禮：由中國信託銀行Home Bank APP內完成「連結icash Pay會員」者，贈20點
OPENPOINT，(已符合活動「新戶好禮」資格者，不得再參加本活動。)(活動期間每戶限贈
乙次，限量前17,300名。)

※首連滿額禮：首次連結中國信託銀行存款帳戶直扣消費單筆200元(含)以上贈77點
OPENPOINT(活動限量1,700名。)

【icash2.0】
持 icash2.0 (需完成指定條件設定) 至 7-ELEVEN 實體門市消費產生自動加值贈77點
OPENPOINT(活動限量500名。)

https://i.imgur.com/a92NCNB.jpg
https://i.imgur.com/8e3Cq9s.jpg
活動連結：https://www.icashpay.com.tw/event/maji/index.html


--",10,0,5,https://www.ptt.cc/bbs/Bank_Service/M.1706860550.A.9E4.html,"[{""type"": ""推"", ""user"": ""abccbaandy"", ""content"": ""看這篇才想到，之前綁openpoint的免手續費都沒給..."", ""ipdatetime"": ""02/02 16:03""}, {""type"": ""推"", ""user"": ""i23421713"", ""content"": ""謝謝分享～"", ""ipdatetime"": ""02/02 16:46""}, {""type"": ""→"", ""user"": ""kevenshih"", ""content"": ""上一批的今天入帳"", ""ipdatetime"": ""02/02 17:35""}, {""type"": ""推"", ""user"": ""lf850202"", ""content"": ""看來新戶最多177點 舊戶最多97點"", ""ipdatetime"": ""02/02 17:58""}, {""type"": ""推"", ""user"": ""jason83713"", ""content"": ""請問app內要怎麼連結icashpay？"", ""ipdatetime"": ""02/02 20:34""}, {""type"": ""→"", ""user"": ""pippen2002"", ""content"": ""+1  +1"", ""ipdatetime"": ""02/02 20:52""}, {""type"": ""推"", ""user"": ""iamhsg"", ""content"": ""請問首連滿額禮線上儲星巴克算嗎？"", ""ipdatetime"": ""02/02 21:26""}, {""type"": ""推"", ""user"": ""iamhsg"", ""content"": ""欸！首連滿額活動2023/11/24就開始，該不會早滿了吧？@@"", ""ipdatetime"": ""02/02 21:34""}, {""type"": ""→"", ""user"": ""iamhsg"", ""content"": ""”"", ""ipdatetime"": ""02/02 21:34""}, {""type"": ""→"", ""user"": ""iamhsg"", ""content"": ""畢竟才1700名"", ""ipdatetime"": ""02/02 21:34""}, {""type"": ""推"", ""user"": ""h67568611"", ""content"": ""活動連結內有教學"", ""ipdatetime"": ""02/02 22:01""}, {""type"": ""推"", ""user"": ""aaa856262"", ""content"": ""要從中信連結去icashpay註冊 才有50點"", ""ipdatetime"": ""02/02 22:45""}, {""type"": ""推"", ""user"": ""pippen2002"", ""content"": ""那算了！給大家機會吧"", ""ipdatetime"": ""02/03 00:18""}, {""type"": ""推"", ""user"": ""BabyWolf"", ""content"": ""首連活動二icash加值送77的12月刷已入帳+1 代售郵票沒排"", ""ipdatetime"": ""02/03 01:53""}, {""type"": ""→"", ""user"": ""BabyWolf"", ""content"": ""除 #1bQNZHYj (MobilePay) 不過據說代收刷不過"", ""ipdatetime"": ""02/03 01:54""}]"
jackloutter (Clarkson),Bank_Service,[新聞] 月初＋農曆年前資料大塞車 郵局系統上午被塞爆,Fri Feb  2 20:27:36 2024,"月初＋農曆年前資料大塞車 郵局系統上午被塞爆
https://www.ctee.com.tw/news/20240202700899-431401
2024.02.02  11:40  中時即時 陳祐誠

https://images.ctee.com.tw/newsphoto/2024-02-02/1024/20240202700900.jpg
中華郵政公司有344間郵局一早出現連線交易緩慢情況，郵局調查後發現是大量資料湧進
資料庫所致。（本報資料照）

中華郵政公司有344間郵局一早出現連線交易緩慢情況，郵局調查後發現是大量資料湧進
資料庫所致，異常已於上午10時許排除，推測是月初加上農曆過年前，有許多帳務資料要
輸入系統所致。

中華郵政表示，今日上午8時35分起，全台1296間郵局，有344間郵局因使用同一系統，陸
續反映窗口交易回應緩慢，經研判係因資料庫大量資料湧入所致。

中華郵政強調並無當機情況，而公司其他服務管道如ATM、e動郵局APP、網路郵局等服務
，均運作正常，不受影響。異常情況後續於10時5分排除，窗口作業均恢復正常。

據悉，郵局月初的交易量本來就比較大，加上農曆年前，不少客戶要提前整理帳務，可能
是因次才塞爆系統。


--",1,1,2,https://www.ptt.cc/bbs/Bank_Service/M.1706876858.A.781.html,"[{""type"": ""→"", ""user"": ""abccbaandy"", ""content"": ""反觀英國(？"", ""ipdatetime"": ""02/02 20:34""}, {""type"": ""推"", ""user"": ""brokeback"", ""content"": ""忙著綁支付送洗碗精？"", ""ipdatetime"": ""02/02 22:10""}, {""type"": ""→"", ""user"": ""flypenguin"", ""content"": ""沒事沒事，郵局交通部管的，金管會罰不到錢。"", ""ipdatetime"": ""02/02 22:20""}, {""type"": ""噓"", ""user"": ""bonba"", ""content"": ""那麼爛還有人用"", ""ipdatetime"": ""02/03 00:36""}]"
eubrgbf (叢雨廚),Bank_Service,[問題] 華南能否線上設定「本人」約定帳號,Fri Feb  2 21:03:50 2024,"不好意思 需要大家求助
小弟有購入一些美金 想換匯成台幣
但App顯示沒有設約定帳號
請問有辦法用網銀讀卡機設定本人的華銀台幣帳號 作為「約定帳號」嗎
很懶的再跑一趟臨櫃

https://i.imgur.com/K7RepXN.jpg






--",2,0,24,https://www.ptt.cc/bbs/Bank_Service/M.1706879032.A.CBD.html,"[{""type"": ""推"", ""user"": ""aljust12"", ""content"": ""大額只能臨櫃 線上約定要臨櫃申請 但額度等同非約定"", ""ipdatetime"": ""02/02 21:14""}, {""type"": ""→"", ""user"": ""aljust12"", ""content"": ""不超過20萬用非約定就好 超過不管如何你還是要臨櫃"", ""ipdatetime"": ""02/02 21:15""}, {""type"": ""→"", ""user"": ""alex1973"", ""content"": ""自己看吧: https://bit.ly/3SrxJT8"", ""ipdatetime"": ""02/02 21:16""}, {""type"": ""→"", ""user"": ""alex1973"", ""content"": ""看限制這麼多, 但是不曉得你需求怎樣, 撞到哪個限制就跑"", ""ipdatetime"": ""02/02 21:17""}, {""type"": ""→"", ""user"": ""alex1973"", ""content"": ""一次銀行全部解決"", ""ipdatetime"": ""02/02 21:18""}, {""type"": ""→"", ""user"": ""eubrgbf"", ""content"": ""您好 不好意思 我只是想綁自己的台幣帳號 作為把外幣換回"", ""ipdatetime"": ""02/02 21:21""}, {""type"": ""→"", ""user"": ""eubrgbf"", ""content"": ""台幣使用 應該可以線上約定自己的帳號嗎"", ""ipdatetime"": ""02/02 21:21""}, {""type"": ""→"", ""user"": ""eubrgbf"", ""content"": ""因為現在我網銀沒辦法美金換回台幣 它叫我要設定台幣轉入"", ""ipdatetime"": ""02/02 21:23""}, {""type"": ""→"", ""user"": ""eubrgbf"", ""content"": ""帳號 我能不能線上讀卡機設定自己的帳戶哇 一天10萬其實"", ""ipdatetime"": ""02/02 21:23""}, {""type"": ""→"", ""user"": ""eubrgbf"", ""content"": ""很夠用了"", ""ipdatetime"": ""02/02 21:23""}, {""type"": ""→"", ""user"": ""ken840419"", ""content"": ""設定自己的帳號也要去臨櫃唷"", ""ipdatetime"": ""02/02 21:23""}, {""type"": ""→"", ""user"": ""alex1973"", ""content"": ""Google \""華南 bank 3.0\"""", ""ipdatetime"": ""02/02 21:24""}, {""type"": ""→"", ""user"": ""alex1973"", ""content"": ""行不行你試看看, 我自己試用過其他家 bank 3.0, 但是華"", ""ipdatetime"": ""02/02 21:25""}, {""type"": ""→"", ""user"": ""alex1973"", ""content"": ""南沒用過"", ""ipdatetime"": ""02/02 21:25""}, {""type"": ""→"", ""user"": ""eubrgbf"", ""content"": ""我看他文章好像寫可以設定自己的本行帳號 作為台幣轉入帳"", ""ipdatetime"": ""02/02 21:27""}, {""type"": ""→"", ""user"": ""eubrgbf"", ""content"": ""號嗎"", ""ipdatetime"": ""02/02 21:27""}, {""type"": ""→"", ""user"": ""eubrgbf"", ""content"": ""https://i.imgur.com/AuHGRz3.jpg"", ""ipdatetime"": ""02/02 21:29""}, {""type"": ""→"", ""user"": ""alex1973"", ""content"": ""我也是看覺得可能可以, 但是你這又牽涉台外幣之間, 所以"", ""ipdatetime"": ""02/02 21:32""}, {""type"": ""→"", ""user"": ""alex1973"", ""content"": ""我才說你自己試看看, 有沒有好消息都歡迎分享給其他人知"", ""ipdatetime"": ""02/02 21:33""}, {""type"": ""→"", ""user"": ""alex1973"", ""content"": ""道"", ""ipdatetime"": ""02/02 21:33""}, {""type"": ""→"", ""user"": ""aljust12"", ""content"": ""文章要全部看完 就問 你有申請過線上約定嗎? 沒有就臨櫃"", ""ipdatetime"": ""02/02 21:38""}, {""type"": ""→"", ""user"": ""aljust12"", ""content"": ""單日沒摻過10萬 常用帳號=非約定=線上約定而度就很好用"", ""ipdatetime"": ""02/02 21:41""}, {""type"": ""推"", ""user"": ""temu2015"", ""content"": ""華南最天才的是連設定常用帳號都要插金融卡……"", ""ipdatetime"": ""02/02 21:43""}, {""type"": ""→"", ""user"": ""theholyice"", ""content"": ""要臨櫃開通，而且要一起申請提高約定帳戶轉帳上限，"", ""ipdatetime"": ""02/03 00:02""}, {""type"": ""→"", ""user"": ""theholyice"", ""content"": ""不然一次最多只能5萬…就算本人也一樣，這點超擾民害"", ""ipdatetime"": ""02/03 00:02""}, {""type"": ""→"", ""user"": ""theholyice"", ""content"": ""我跑兩趟"", ""ipdatetime"": ""02/03 00:02""}]"
kedine (雀榕),Bank_Service,[情報]  永豐DAWHO龍年匯好運 換匯抽日幣、switc,Fri Feb  2 21:11:30 2024,"活動內容：龍年匯好運活動不限幣別換匯5000就能抽獎，50000抽switch、Airpods pro
活動對象：DAWHO 數位帳戶客戶
活動詳情：https://ppt.cc/fsg4Ex

大戶日幣換匯優惠0.06分、優利定存7天期7.05%、14天期3.5%、1個月期1.65%、2個月期0
.8%

4月要去日本玩，預計會換3萬台幣，沒花完也可以留到下次用，加上有短天期的高利定存
，等於是可以拿利息+抽獎～



--",2,0,1,https://www.ptt.cc/bbs/Bank_Service/M.1706879492.A.F0C.html,"[{""type"": ""推"", ""user"": ""lynnlelia071"", ""content"": ""大戶趁禮拜三換匯額度比較划算，剛好之後要出國多"", ""ipdatetime"": ""02/02 22:24""}, {""type"": ""→"", ""user"": ""lynnlelia071"", ""content"": ""換一些起來，感謝樓主分享抽獎活動"", ""ipdatetime"": ""02/02 22:24""}, {""type"": ""推"", ""user"": ""kkkk1234"", ""content"": ""提醒一下 任務一要單筆5千 任務二可以累積5萬"", ""ipdatetime"": ""02/02 22:40""}]"
TZUYIC (Je T'aime Celine Dion),Bank_Service,[分享] 七大行庫等／五大外銀優惠匯率比較＆常見問答整理,Wed May  4 02:00:21 2011,"文章使用：作者僅刊登於PTT銀行板（Bank_Service）及PTT外匯板（ForeignEX），請勿
          轉載他處；作者不同意非本人轉載至任何其他看板或網路空間（因為本文未來
          將持續更新，故不希望舊版的文章到處傳播；若讀者您想介紹本文給朋友，煩
          請他直接至銀行板閱讀，謝謝配合。

作者ＯＳ：很久之前就想寫這篇文章，但由於工程太大，實在很懶得動筆，不過一直拖下
          去也不是辦法，還是早點寫一寫，以後再慢慢修改。

標題解釋：因為標題空間有限，只能以最精簡的方式描述，故在此解釋：七大行庫為臺灣
          銀行、臺灣土地銀行、合作金庫銀行、第一銀行、華南銀行、彰化銀行（一銀
          、華銀、彰銀合稱三商銀）及臺灣中小企業銀行；五大外銀在這篇文章中定義
          為花旗（臺灣）銀行、滙豐（臺灣）銀行、渣打銀行、澳盛銀行與星展銀行（
          雖然部分外銀已完成在地化成為外銀之在臺子行，但文章中還是當成外銀）；
          「等」字定義為作者有興趣加入討論除七大行庫及五大外銀之外的銀行；常見
          問答將整理一些板友常問的問題或常遇到的狀況。

文章摘要：本文主要比較標題這幾間行庫的「即期」牌告匯率原始匯差、於網路銀行交易
          （即新臺幣結購成外幣或外幣結售成新臺幣）所享有的匯率優惠和優惠後的實
          際匯差，最後再整理一些常見問題之解答；作者盡可能取得官方提供的公開資
          訊作為討論依據，以避免誤差發生，所有即期匯率取得時間為2011年04月26日
          之銀行營業時間。

          註：本文討論範圍侷限在即期匯率，因此現鈔匯率（或現金匯率）不在匯率比
              較的範圍內。

文章目錄：第一部分：十五家銀行之即期牌告匯率原始匯差比較
          第二部分：利用網路銀行進行外匯交易可享有之牌告匯率優惠幅度
          第三部分：客戶於網路銀行進行外匯交易所忍受之實際匯差
          第四部分：外匯常見《問與答》

******************************************************************************

第一部分：十五家銀行之即期牌告匯率原始匯差比較

          （註：原始匯差最低者將以粉紅色標明之）

《美金 USD》

臺灣銀行   土地銀行   合庫金庫   第一銀行   華南銀行   彰化銀行   臺灣企銀
   0.1        0.1        0.1        0.1        0.1        0.1        0.1

玉山銀行   兆豐銀行   聯邦銀行   永豐銀行
   0.1        0.1        0.1       0.095^
                                       ¯
花旗銀行   滙豐銀行   渣打銀行   澳盛銀行   星展銀行
0.0823或      0.1       0.12        0.1        0.1
0.0862或
0.0851或
0.0841或
… … …
 （註1）

註1：花旗銀行的匯差為浮動、不固定的，因此匯差於每次牌告匯率更新後都不相同；本文
     之後若出現浮動匯差者，將以「… … …」表示匯差數值隨時間而變動。

  ^：永豐銀行的匯差為浮動，若某數值下加「底線」代表該處數值將隨時間而變動；若匯
     差以連字符號（-，hyphen）表示，代表該匯差為一個變動區間，沒有特定的數值。

《歐元 EUR》

臺灣銀行   土地銀行   合庫金庫   第一銀行   華南銀行   彰化銀行   臺灣企銀
   0.4       0.36       0.38        0.4        0.4        0.4        0.4

玉山銀行   兆豐銀行   聯邦銀行   永豐銀行
   0.4        0.4        0.2     .34-.35^

花旗銀行   滙豐銀行   渣打銀行   澳盛銀行   星展銀行
0.3082或   0.50444或    0.36        0.4       0.39
0.3123或   0.50548或
0.3100或   … … …
0.3081或    （註2）
… … …

註2：滙豐銀行的匯差也是浮動式。

《英鎊 GBP》

臺灣銀行   土地銀行   合庫金庫   第一銀行   華南銀行   彰化銀行   臺灣企銀
  0.42        0.4        0.4        0.4        0.4        0.4        0.4

玉山銀行   兆豐銀行   聯邦銀行   永豐銀行
   0.4        0.4        0.4     .27-.28^

花旗銀行   滙豐銀行   渣打銀行   澳盛銀行   星展銀行
0.4465或   0.57220或     0.4       0.46     .48-.49#
0.4530或   0.57215或
0.4514或   … … …
0.4499或
… … …

《澳幣 AUD》

臺灣銀行   土地銀行   合庫金庫   第一銀行   華南銀行   彰化銀行   臺灣企銀
  0.23        0.2        0.2        0.2        0.2        0.2        0.2

玉山銀行   兆豐銀行   聯邦銀行   永豐銀行
   0.2        0.2        0.2       0.184^
                                       ¯
花旗銀行   滙豐銀行   渣打銀行   澳盛銀行   星展銀行
0.1968或   0.49492或    0.28        0.4     .28-.29#
0.2038或   0.49530或
0.2028或   … … …
0.2018或
… … …

《紐西蘭幣 NZD》

臺灣銀行   土地銀行   合庫金庫   第一銀行   華南銀行   彰化銀行   臺灣企銀
   0.2        0.2        0.2        0.2        0.2        0.2        0.2

玉山銀行   兆豐銀行   聯邦銀行   永豐銀行
  0.24        0.2        0.2     .15-.16^

花旗銀行   滙豐銀行   渣打銀行   澳盛銀行   星展銀行
0.2640或   0.36996或    0.28        0.4     .28-.29#
0.2729或   0.37089或
0.2721或   … … …
0.2742或
… … …

《瑞士法郎 CHF》

臺灣銀行   土地銀行   合庫金庫   第一銀行   華南銀行   彰化銀行   臺灣企銀
   0.29*      0.2        0.2        0.2        0.2        0.2        0.2


玉山銀行   兆豐銀行   聯邦銀行   永豐銀行
   0.2        0.2        0.2       0.218^
                                       ¯
花旗銀行   滙豐銀行   渣打銀行   澳盛銀行   星展銀行
0.2291或   0.39303或     0.2        0.2     .24-.25#
0.2228或   0.39305或
0.2200或   … … …
0.2211或
… … …

《日圓 JPY》

臺灣銀行   土地銀行   合庫金庫   第一銀行   華南銀行   彰化銀行   臺灣企銀
  0.004      0.004      0.004      0.004      0.004      0.004      0.004

玉山銀行   兆豐銀行   聯邦銀行   永豐銀行
  0.004      0.0041     0.004     0.0033^
                                       ¯
花旗銀行   滙豐銀行   渣打銀行   澳盛銀行   星展銀行
0.0042或   0.0056602    0.004      0.008      0.0041
… … …      或
           0.0056643
              或
           … … …

《加拿大幣 CAD》

臺灣銀行   土地銀行   合庫金庫   第一銀行   華南銀行   彰化銀行   臺灣企銀
  0.22       0.18        0.2        0.2        0.2        0.2        0.2

玉山銀行   兆豐銀行   聯邦銀行   永豐銀行
  0.18        0.2       0.18       0.192^
                                       ¯
花旗銀行   滙豐銀行   渣打銀行   澳盛銀行   星展銀行
0.2413或   0.48498或    0.26        0.3     .26-.27#
0.2420或   0.48526或
0.2378或   … … …
0.2401或
… … …

《瑞典克朗 SEK》

臺灣銀行   土地銀行   合庫金庫   第一銀行   華南銀行   彰化銀行   臺灣企銀
   0.1       0.06       0.08        0.1        0.1        0.1        0.1

玉山銀行   兆豐銀行   聯邦銀行   永豐銀行
  0.06        0.1        N/A       0.077^
                                       ¯
花旗銀行   滙豐銀行   渣打銀行   澳盛銀行   星展銀行
0.0897或   0.07565或     N/A        0.1        N/A
0.0892或   0.07589或                         （註3）
0.0879或   … … …
0.0888或
… … …

註3：N/A表示「Not Available」；無此掛牌外幣，故匯率不可得。

《南非蘭特 ZAR》

臺灣銀行   土地銀行   合庫金庫   第一銀行   華南銀行   彰化銀行   臺灣企銀
   0.1        0.1        0.1        0.1        0.1        0.1        0.1

玉山銀行   兆豐銀行   聯邦銀行   永豐銀行
  0.12       0.12       0.16       0.089^
                                       ¯
花旗銀行   滙豐銀行   渣打銀行   澳盛銀行   星展銀行
0.0615或      N/A       0.08        N/A        N/A
0.0596或
0.0570或
0.0569或
… … …

《新加坡幣 SGD》

臺灣銀行   土地銀行   合庫金庫   第一銀行   華南銀行   彰化銀行   臺灣企銀
  0.18       0.16       0.18        0.2        0.2        0.2       0.18

玉山銀行   兆豐銀行   聯邦銀行   永豐銀行
  0.16       0.18       0.18       0.179^
                                       ¯
花旗銀行   滙豐銀行   渣打銀行   澳盛銀行   星展銀行
0.2227或   0.37454或     0.2       0.26     .159-.16#
0.2239或   0.37428或
0.2212或   … … …
0.2281或
… … …

《港幣 HKD》

臺灣銀行   土地銀行   合庫金庫   第一銀行   華南銀行   彰化銀行   臺灣企銀
  0.06       0.06       0.046      0.06       0.06       0.05       0.06

玉山銀行   兆豐銀行   聯邦銀行   永豐銀行
  0.06       0.06       0.06      0.0369^
                                      ¯
花旗銀行   滙豐銀行   渣打銀行   澳盛銀行   星展銀行
0.0535或   0.04468或    0.06        0.1     .059-.06#
0.0541或   0.04464或
0.0540或   … … …
0.0538或
… … …

《泰銖 THB》

臺灣銀行   土地銀行   合庫金庫   第一銀行   華南銀行   彰化銀行   臺灣企銀
  0.04       0.05       0.042      0.045     0.0395      0.04       0.036

玉山銀行   兆豐銀行   聯邦銀行   永豐銀行
  0.04       0.042       N/A       0.032^
                                       ¯
花旗銀行   滙豐銀行   渣打銀行   澳盛銀行   星展銀行
0.0311或      N/A       0.04       0.02       0.023
0.0338或
0.0340或
… … …

《澳門帕塔卡 MOP》

永豐銀行
 0.0778^
      ¯
------------------------------------------------------------------------------

【牌告匯率原始匯差取得來源】

01. 臺灣銀行：http://tinyurl.com/3qrjsq9（2011年04月26日上午11時36分）
              http://tinyurl.com/44yn455（2011年06月01日上午11時08分）
              http://tinyurl.com/427u9km（2011年06月08日上午10時00分）
              http://tinyurl.com/3stdl87（2011年08月10日上午10時00分）*

02. 土地銀行：http://tinyurl.com/3w6woho（2011年04月26日上午11時30分01秒）

03. 合作金庫：http://tinyurl.com/3sd74tm（2011年04月26日上午11時39分39秒）

04. 第一銀行：http://tinyurl.com/3fwzhmv（2011年04月26日上午11時33分04秒）

05. 華南銀行：http://tinyurl.com/3fuf7s8（2011年04月26日上午11時45分45秒）

06. 彰化銀行：http://tinyurl.com/3j6z8tn（2011年04月26日上午11時36分06秒）

07. 臺灣企銀：http://tinyurl.com/43qz24h（2011年04月26日上午11時33分）

08. 玉山銀行：http://tinyurl.com/427wcmr（2011年04月26日上午11時50分52秒）

09. 兆豐銀行：http://tinyurl.com/3nytk4q（2011年04月26日上午11時36分）

10. 聯邦銀行：http://tinyurl.com/3syrnbd（2011年04月26日上午11時12分）

11. 永豐銀行：http://tinyurl.com/45274lm（2011年06月28日上午10時00分00秒）^
              http://tinyurl.com/3hhsrkh（2011年06月28日上午10時08分00秒）^
              http://tinyurl.com/3ju7orj（2011年06月28日上午10時36分00秒）^
              http://tinyurl.com/3eu3oym（2011年06月28日上午11時46分30秒）^

12. 花旗銀行：http://tinyurl.com/3zm5o9p（2011年04月26日上午11時36分）---本表為
                                         本文第一部分之花旗銀行各幣別第一個匯差
                                         數值取得來源

              http://tinyurl.com/4xrxh7j（2011年04月26日下午03時22分）---本表為
                                         本文第一部分之花旗銀行各幣別第二個匯差
                                         數值取得來源

              http://tinyurl.com/3o55rax（2011年04月26日下午03時26分）---本表為
                                         本文第一部分之花旗銀行各幣別第三個匯差
                                         數值取得來源

              http://tinyurl.com/3hfmh5r（2011年04月26日下午03時27分）---本表為
